"YearVal","MonthVal","Country","RecordCount","OpsSourceCode"
"2025","10","PT","1878","R"
"2025","6","LT","4","R"
"2025","9","CN","55","R"
"2025","1","NZ","4","R"
"2025","10","ZA","238","R"
"2025","5","HK","270","R"
"2025","9","LV","24","R"
"2025","3","ES","9571","R"
"2025","10","CL","3","R"
"2025","8","LT","3","R"
"2025","3","SI","7","R"
"2025","4","TH","1239","R"
"2025","4","EE","329","R"
"2025","1","FR","40364","R"
"2025","1",,"50142","R"
"2025","9","JO","8","R"
"2025","8","VN","6","R"
"2025","2","HK","187","R"
"2025","12","KR","7","R"
"2025","1","IN","41","R"
"2025","8","SG","3274","R"
"2025","1","NO","184","R"
"2025","12","NL","371","R"
"2025","11","CY","493","R"
"2025","7","EG","16","R"
"2025","10","LU","13","R"
"2025","6","SK","38895","R"
"2025","1","SA","95","R"
"2025","6","IN","51","R"
"2025","10",,"70443","B"
"2025","3","BH","39","R"
"2025","1","KE","1","R"
"2025","9","TW","12","R"
"2025","11","JP","36","R"
"2025","10","EE","342","R"
"2025","10","FJ","60","R"
"2025","2","UA","33","R"
"2025","8","SK","30446","R"
"2025","4","JP","26","R"
"2025","4","CL","9","R"
"2025","3","IE","6665","R"
"2025","4","FR","52753","R"
"2025","2","PH","1","R"
"2025","10","GR","42","R"
"2025","6","TW","27","R"
"2025","6","PL","3125","R"
"2025","12","LT","1","R"
"2025","9","VN","4","R"
"2025","3","LV","69","R"
"2025","5","CZ","12249","R"
"2025","2","MT","2","R"
"2025","2","FR","56333","R"
"2025","3","JO","2","R"
"2025","1","VN","4","R"
"2025","7","IN","60","R"
"2025","2","SE","5830","R"
"2025","3","SG","4089","R"
"2025","5","TR","1544","R"
"2025","3","JP","27","R"
"2025","11","BT","20","R"
"2025","1","TM","4","R"
"2025","9","AT","728","R"
"2025","4","SA","40","R"
"2025","10","BT","13","R"
"2025","1","ID","15","R"
"2025","10","HK","299","R"
"2025","9",,"24660","R"
"2025","12","JP","2","R"
"2025","7","TH","287","R"
"2025","6","BT","17","R"
"2025","12","SK","18","R"
"2025","8","GB","6381","R"
"2025","3","AT","1068","R"
"2025","6","PH","2","R"
"2025","1","MY","88","R"
"2025","4","AT","856","R"
"2025","7","SE","5095","R"
"2025","6","AU","546","R"
"2025","2","AT","2404","R"
"2025","2","BG","9700","R"
"2025","8","IN","69","R"
"2025","7","BT","15","R"
"2025","8","JP","89","R"
"2025","9","FJ","4","R"
"2025","5","BT","17","R"
"2025","5","IT","5247","R"
"2025","8","AT","724","R"
"2025","4","IE","6507","R"
"2025","8","HK","194","R"
"2025","9","ID","17","R"
"2025","11","CL","1","R"
"2025","7","CN","78","R"
"2025","4","GR","70","R"
"2025","1","FI","292","R"
"2025","9","LU","36","R"
"2025","10","PL","19663","R"
"2025","9","ZA","238","R"
"2025","9","RO","288","R"
"2025","11","DK","210","R"
"2025","1","GB","10051","R"
"2025","10","BG","38234","R"
"2025","2",,"88419","B"
"2025","8","AU","567","R"
"2025","8","IT","6113","R"
"2025","12","IN","2","R"
"2025","11","FI","257","R"
"2025","12","AT","75","R"
"2025","5","IN","67","R"
"2025","2","FI","219","R"
"2025","9","AU","471","R"
"2025","7","PT","1869","R"
"2025","9","SG","2855","R"
"2025","5","FJ","15","R"
"2025","5","BG","13864","R"
"2025","2","BH","43","R"
"2025","6","CZ","2671","R"
"2025","12","TR","20","R"
"2025","8","BE","2853","R"
"2025","7","PH","3","R"
"2025","2","CY","5582","R"
"2025","2","CZ","13857","R"
"2025","5","SE","5460","R"
"2025","11","PT","2043","R"
"2025","10","AE","382","R"
"2025","12","CZ","17","R"
"2025","1","TH","1104","R"
"2025","7","LT","5","R"
"2025","7","UA","87","R"
"2025","8","NO","133","R"
"2025","10","KW","92","R"
"2025","8","CN","77","R"
"2025","3","CH","6955","R"
"2025","8","SI","9","R"
"2025","10","TW","7","R"
"2025","3","AU","572","R"
"2025","11","PH","4","R"
"2025","1","FJ","10","R"
"2025","1","HU","82","R"
"2025","9","NZ","2","R"
"2025","5","BE","2995","R"
"2025","10","ES","8054","R"
"2025","6",,"14699","I"
"2025","11","IN","182","R"
"2025","5","NO","168","R"
"2025","10","EG","4","R"
"2025","5","SI","4","R"
"2025","2","ES","20887","R"
"2025","5","LU","188","R"
"2025","10","AT","871","R"
"2025","2","TW","11","R"
"2025","10","UA","69","R"
"2025","4","SG","2649","R"
"2025","5",,"26504","R"
"2025","9","TR","1292","R"
"2025","5","PL","4266","R"
"2025","1","MT","3","R"
"2025","2","AE","148","R"
"2025","9","KR","25","R"
"2025","1","ES","8107","R"
"2025","5","GB","6696","R"
"2025","5","IL","47","R"
"2025","12","SE","183","R"
"2025","11","TH","238","R"
"2025","7","CY","9031","R"
"2025","5","IE","7717","R"
"2025","3","CY","5487","R"
"2025","10","NL","98134","R"
"2025","7","ZA","460","R"
"2025","9","LT","9","R"
"2025","6","JO","1","R"
"2025","3","BG","11361","R"
"2025","7","IT","7929","R"
"2025","8","PL","15720","R"
"2025","5","KW","48","R"
"2025","12","BH","1","R"
"2025","3","FJ","9","R"
"2025","2","CL","31","R"
"2025","7","LV","36","R"
"2025","4","TR","1199","R"
"2025","1","KR","17","R"
"2025","3",,"16677","I"
"2025","5","TW","6","R"
"2025","4","TM","4","R"
"2025","9","NO","123","R"
"2025","3",,"83154","B"
"2025","4","PT","44642","R"
"2025","11","BH","44","R"
"2025","10","ID","26","R"
"2025","4","KR","23","R"
"2025","2","CH","6856","R"
"2025","3","ID","20","R"
"2025","3","NO","154","R"
"2025","3","MT","1","R"
"2025","3","NZ","14","R"
"2025","6","AT","967","R"
"2025","1","SK","68385","R"
"2025","3","SK","61824","R"
"2025","8","LV","48","R"
"2025","12","SA","10","R"
"2025","4","JO","3","R"
"2025","10","GB","11340","R"
"2025","11","UA","57","R"
"2025","6","NZ","7","R"
"2025","12","GB","282","R"
"2025","1","GR","59","R"
"2025","6","IL","23","R"
"2025","7",,"12683","I"
"2025","10","TM","7","R"
"2025","7","FJ","14","R"
"2025","8","ID","9","R"
"2025","6","IT","7489","R"
"2025","10","IN","752","R"
"2025","4","SI","3","R"
"2025","6","CY","3500","R"
"2025","8",,"24431","R"
"2025","10","SA","89","R"
"2025","9","DK","186","R"
"2025","11","IE","2719","R"
"2025","11","EE","340","R"
"2025","6","PT","1740","R"
"2025","7","DK","208","R"
"2025","9","IE","5142","R"
"2025","4","DK","201","R"
"2025","11","SG","4531","R"
"2025","7","NO","115","R"
"2025","2","GR","1194","R"
"2025","5","GR","64","R"
"2025","8","FR","25701","R"
"2025","9","TM","8","R"
"2025","4","MY","73","R"
"2025","7","ID","13","R"
"2025","4","FJ","8","R"
"2025","11","SA","74","R"
"2025","11","ES","9307","R"
"2025","1",,"23786","I"
"2025","10","JP","26","R"
"2025","4","PH","1","R"
"2025","4","BE","4043","R"
"2025","4","CZ","6626","R"
"2025","2","KR","28","R"
"2025","6","DK","179","R"
"2025","5","CN","77","R"
"2025","12","BE","64","R"
"2025","4","KW","73","R"
"2025","7","SK","68251","R"
"2025","11","LU","10","R"
"2025","1","CL","18","R"
"2025","4","HK","408","R"
"2025","9","BG","10051","R"
"2025","8","UA","51","R"
"2025","12","PL","27","R"
"2025","8","KW","79","R"
"2025","4","RO","250","R"
"2025","11","IL","38","R"
"2025","11","HK","354","R"
"2025","6",,"44181","R"
"2025","11",,"61286","B"
"2025","11","FJ","5","R"
"2025","11","CH","7959","R"
"2025","10","HU","535","R"
"2025","5","EG","2","R"
"2025","4","LT","5","R"
"2025","11","VN","6","R"
"2025","11","AU","519","R"
"2025","11","KW","64","R"
"2025","12","TH","7","R"
"2025","4","PL","5597","R"
"2025","3","TR","1656","R"
"2025","10","TR","1099","R"
"2025","7","FI","242","R"
"2025","1","HK","148","R"
"2025","6","CN","71","R"
"2025","11","CN","82","R"
"2025","7","TR","1473","R"
"2025","5","AU","529","R"
"2025","11","ZA","323","R"
"2025","9","FI","261","R"
"2025","8","CZ","6495","R"
"2025","6","HU","125","R"
"2025","2","RO","279","R"
"2025","12","NO","4","R"
"2025","6","ZA","255","R"
"2025","4","BT","14","R"
"2025","5","TH","1374","R"
"2025","9","PL","4374","R"
"2025","9","AE","412","R"
"2025","7","GB","7637","R"
"2025","8","SE","6388","R"
"2025","4","IL","26","R"
"2025","4","AE","280","R"
"2025","2",,"37572","R"
"2025","6","EE","353","R"
"2025","4","ID","15","R"
"2025","1","LU","149","R"
"2025","5","AT","1162","R"
"2025","10","SG","6580","R"
"2025","5","NL","121068","R"
"2025","10","CY","508","R"
"2025","9","CY","1330","R"
"2025","12","IT","31","R"
"2025","8","LU","107","R"
"2025","9","IL","38","R"
"2025","11","RO","333","R"
"2025","8",,"57111","B"
"2025","11","HU","665","R"
"2025","2","LT","8","R"
"2025","6","FI","273","R"
"2025","2","PT","55528","R"
"2025","12","ES","122","R"
"2025","7","AE","511","R"
"2025","3","LT","2","R"
"2025","8","PH","3","R"
"2025","3","GR","290","R"
"2025","3","CN","76","R"
"2025","3","DK","230","R"
"2025","3","LU","254","R"
"2025","7","JP","31","R"
"2025","3","HK","522","R"
"2025","7","BG","21667","R"
"2025","6","SE","5186","R"
"2025","8","TH","763","R"
"2025","3","FR","38770","R"
"2025","9","JP","27","R"
"2025","4","ES","8896","R"
"2025","5","JP","30","R"
"2025","9","SE","5990","R"
"2025","5","RO","291","R"
"2025","5","PT","10686","R"
"2025","6","LU","168","R"
"2025","5","BH","44","R"
"2025","9","SI","8","R"
"2025","1","NL","96012","R"
"2025","2","GB","11236","R"
"2025","10","KR","23","R"
"2025","11",,"12650","I"
"2025","1","BH","64","R"
"2025","4","BG","11627","R"
"2025","5","FR","33051","R"
"2025","7","GR","65","R"
"2025","3","IL","42","R"
"2025","10","PH","5","R"
"2025","2","EG","11","R"
"2025","4","LV","98","R"
"2025","3","GB","9162","R"
"2025","6","MY","76","R"
"2025","10","CZ","8537","R"
"2025","1","KW","74","R"
"2025","7","BE","5554","R"
"2025","6","EG","13","R"
"2025","10",,"27306","R"
"2025","6","SG","2975","R"
"2025","11","NO","199","R"
"2025","4","IN","51","R"
"2025","3","KW","72","R"
"2025","5","LT","5","R"
"2025","4","GB","12261","R"
"2025","1","IE","10318","R"
"2025","8","SA","82","R"
"2025","3","BE","4790","R"
"2025","10","RO","263","R"
"2025","4","ZA","457","R"
"2025","4","FI","316","R"
"2025","8","BT","18","R"
"2025","2","SI","27","R"
"2025","4","NL","108326","R"
"2025","1","LV","59","R"
"2025","11","CZ","9522","R"
"2025","4","UA","62","R"
"2025","4",,"31635","R"
"2025","2","IL","35","R"
"2025","4","LU","227","R"
"2025","6","RO","273","R"
"2025","1","SE","6804","R"
"2025","8","TR","1196","R"
"2025","7","ES","7247","R"
"2025","12","RO","3","R"
"2025","3","RO","250","R"
"2025","3","EG","22","R"
"2025","12","LV","2","R"
"2025","11","IT","5448","R"
"2025","6","KR","30","R"
"2025","8","TM","3","R"
"2025","7","AU","530","R"
"2025","7","RO","331","R"
"2025","10","IL","35","R"
"2025","1","CZ","5250","R"
"2025","9","TH","1047","R"
"2025","11","EG","16","R"
"2025","10","SE","6335","R"
"2025","7","JO","3","R"
"2025","8","NL","76627","R"
"2025","2","VN","8","R"
"2025","9","AR","1","R"
"2025","12",,"21529","R"
"2025","9","CZ","8109","R"
"2025","12",,"4894","I"
"2025","8","ZA","165","R"
"2025","8","AR","1","R"
"2025","9","BH","34","R"
"2025","4","HU","157","R"
"2025","3","TM","11","R"
"2025","1","EG","8","R"
"2025","10","NZ","2","R"
"2025","5","KR","40","R"
"2025","1","EE","430","R"
"2025","11","KR","28","R"
"2025","3","FI","264","R"
"2025","4","SE","8152","R"
"2025","9","CH","4829","R"
"2025","8","KR","26","R"
"2025","3","TW","14","R"
"2025","6","KW","55","R"
"2025","2","DK","269","R"
"2025","1","AE","141","R"
"2025","12","CN","4","R"
"2025","9","SA","86","R"
"2025","12","ZA","9","R"
"2025","3","PH","3","R"
"2025","7","FR","29096","R"
"2025","11","TR","1153","R"
"2025","4",,"16882","I"
"2025","5",,"114702","B"
"2025","12","FI","16","R"
"2025","9","GB","6183","R"
"2025","1","RO","217","R"
"2025","4","CY","5463","R"
"2025","9","PT","1575","R"
"2025","2","BT","19","R"
"2025","1","AU","518","R"
"2025","8","JO","3","R"
"2025","1","BT","25","R"
"2025","4","VN","314","R"
"2025","11","BG","18431","R"
"2025","9","IT","5667","R"
"2025","2","IE","6125","R"
"2025","9",,"12429","I"
"2025","1","AT","1229","R"
"2025","6","TM","10","R"
"2025","5","HU","198","R"
"2025","7","BH","34","R"
"2025","8","MY","1446","R"
"2025","5","SA","70","R"
"2025","10","CH","6228","R"
"2025","8","PT","1592","R"
"2025","12","AU","6","R"
"2025","5","SK","79469","R"
"2025","9","HU","609","R"
"2025","4","BH","42","R"
"2025","1","UA","34","R"
"2025","8","CL","7","R"
"2025","2","TM","6","R"
"2025","12","HU","7","R"
"2025","1","JO","8","R"
"2025","5","CL","14","R"
"2025","10","FR","32102","R"
"2025","10","FI","265","R"
"2025","3","HU","145","R"
"2025","10","SK","30018","R"
"2025","10","LV","51","R"
"2025","10","IT","6294","R"
"2025","6","ES","6574","R"
"2025","6","TR","1354","R"
"2025","1",,"99891","B"
"2025","1","JP","31","R"
"2025","1","BE","8307","R"
"2025","7","TM","7","R"
"2025","12","TW","1","R"
"2025","6","SA","53","R"
"2025","8",,"11454","I"
"2025","7","MY","91","R"
"2025","10","BH","53","R"
"2025","7","NL","111010","R"
"2025","9","NL","125415","R"
"2025","3","PT","40441","R"
"2025","11","SK","28763","R"
"2025","3","TH","1209","R"
"2025","6","ID","24","R"
"2025","3","CL","17","R"
"2025","12","DK","1","R"
"2025","6","GR","61","R"
"2025","9","BE","2887","R"
"2025","5","LV","71","R"
"2025","1","IL","51","R"
"2025","9","HK","281","R"
"2025","8","EE","359","R"
"2025","6","BH","36","R"
"2025","6","UA","41","R"
"2025","11","SI","3","R"
"2025","11","JO","2","R"
"2025","10","AU","531","R"
"2025","6",,"62420","B"
"2025","7","NZ","4","R"
"2025","7","TW","8","R"
"2025","1","PH","4","R"
"2025","6","TH","730","R"
"2025","2","JO","2","R"
"2025","9",,"57258","B"
"2025","10","SI","9","R"
"2025","3","SA","53","R"
"2025","2","JP","24","R"
"2025","2","MY","1019","R"
"2025","3","KR","38","R"
"2025","9","FR","28654","R"
"2025","11","LV","47","R"
"2025","11","AE","524","R"
"2025","3","IT","7520","R"
"2025","8","AE","137","R"
"2025","7","KR","38","R"
"2025","12","SG","131","R"
"2025","10","NO","135","R"
"2025","6","IE","6607","R"
"2025","3","AE","101","R"
"2025","4","NO","164","R"
"2025","6","LV","45","R"
"2025","4","CN","89","R"
"2025","6","AE","218","R"
"2025","6","BE","5065","R"
"2025","2","NO","195","R"
"2025","9","KW","73","R"
"2025","8","EG","17","R"
"2025","1","BG","8937","R"
"2025","8","BG","11477","R"
"2025","3","SE","5770","R"
"2025","9","GR","46","R"
"2025","8","FJ","16","R"
"2025","2","LV","63","R"
"2025","12","BG","635","R"
"2025","6","FR","28574","R"
"2025","3","IN","17","R"
"2025","12","KW","3","R"
"2025","12","CH","400","R"
"2025","6","VN","47","R"
