"QueryName","YearVal","MonthVal","Country","RecordCount","Division","Product","BillingType"
"03_InvoicedConsignments_YI","2025","3","DK","24","G","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","DK","9","G","09N","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","BG","3213","D","15","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","TW","36","S","NFO","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","BE","589","S","1P","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","TR","244","G","12N","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","IN","13","G","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","SK","5266","G","32","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","NO","12","G","101","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","AU","1","Z","105","Duty Billing"
"03_InvoicedConsignments_YI","2025","10","CN","222","S","NFO","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","SK","5","S","24","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","FR","196","G","09N","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","PL","18","S","726","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","PL","1","S","1EN","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","CH","2","S","820","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","IN","5","S","1EN","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","EE","64","D","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","LU","32","G","15N","Duty Billing"
"03_InvoicedConsignments_YI","2025","11","MY","5","S","1P","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","BH","2","S","731","Duty Billing"
"03_InvoicedConsignments_YI","2025","4","AE","25","G","12N","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","GB","485","G","12N","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","SK","157","G","12N","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","TR","33","G","10D","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","NL","158","G","10N","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","GB","5","S","1EN","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","SI","5","Z","103","Duty Billing"
"03_InvoicedConsignments_YI","2025","8","SK","2","G","09N","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","CY","92","FX","0401","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","AT","6","D","101","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","SA","1","G","100","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","AU","326","G","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","NO","12","G","101","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","LV","126","Z","102","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","BE","3114","G","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","GB","2327","S","DNI","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","NL","2742","G","12N","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","ES","14","S","24","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","GB","2","G","09N","Duty Billing"
"03_InvoicedConsignments_YI","2025","7","AE","404","D","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","PT","20","S","1E","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","DE","2","G","48N","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","PT","7","S","820","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","AT","15109","G","15N","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","IE","9228","G","48N","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","VN","3","G","09D","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","IN","2139","S","1E","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","NL","130","G","09N","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","BG","8","S","731","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","CZ","51","D","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","IE","350","G","15N","Duty Billing"
"03_InvoicedConsignments_YI","2025","1","CN","1137","S","1E","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","KR","2178","S","1P","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","SE","12","S","24","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","RO","370","G","48N","Duty Billing"
"03_InvoicedConsignments_YI","2025","10","TH","168","S","29","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","BG","155","FX","0106","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","SI","213","G","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","IE","6","S","OBC","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","PT","211","S","1EN","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","DK","30","G","48N","Duty Billing"
"03_InvoicedConsignments_YI","2025","9","CH","2","S","OBC","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","ES","48","S","800","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","CN","368","S","NFO","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","LT","1070","G","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","SE","46","D","10","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","ZA","1","Z","102","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","BE","132","D","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","NL","1","S","DNI","Duty Billing"
"03_InvoicedConsignments_YI","2025","7","HU","1","G","101","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","MY","5107","D","15N","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","SK","1","W","48N","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","LV","5","S","731","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","ES","190","S","DNE","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","TR","7849","G","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","NZ","1","G","48N","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","JP","759","G","15N","Duty Billing"
"03_InvoicedConsignments_YI","2025","3","SE","1","G","SSN","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","HK","10","D","101","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","IL","16","G","101","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","RO","2","S","23","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","BE","138141","G","48N","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","DK","43","G","10N","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","BE","1","G","32","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","SI","3366","G","48N","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","PT","50384","D","15","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","GB","2","G","09D","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","IE","6584","G","48N","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","ES","92513","D","15N","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","GR","25","S","1PN","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","CH","2","Z","105","Duty Billing"
"03_InvoicedConsignments_YI","2025","4","CH","2","S","NFO","Duty Billing"
"03_InvoicedConsignments_YI","2025","6","NO","11","S","727","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","SK","841","G","15N","Duty Billing"
"03_InvoicedConsignments_YI","2025","2","NL","4024","G","12N","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","FJ","5","Z","102","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","HK","1","Z","104","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","DK","44","Z","103","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","EG","15","D","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","DK","5","S","731","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","PL","1","G","48F","Duty Billing"
"03_InvoicedConsignments_YI","2025","2","IL","8","Z","104","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","CH","1","G","130","Duty Billing"
"03_InvoicedConsignments_YI","2025","9","IE","4","S","NFO","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","BE","680","G","15N","Duty Billing"
"03_InvoicedConsignments_YI","2025","8","NL","264","G","101","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","IE","3424","G","15N","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","GR","7","G","10N","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","ID","31","G","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","HU","64","S","NFO","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","CZ","9747","S","DNI","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","CZ","4","S","TC","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","HK","347","G","30","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","HK","5","S","1EN","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","GB","5","G","15D","Duty Billing"
"03_InvoicedConsignments_YI","2025","9","SE","19","G","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","IN","1","G","10N","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","SI","1","G","48F","Duty Billing"
"03_InvoicedConsignments_YI","2025","3","CN","18","S","820","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","FI","1","G","10D","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","BE","7","S","1EN","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","FI","4","G","10D","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","AU","1244","G","15N","Duty Billing"
"03_InvoicedConsignments_YI","2025","3","ES","33","G","12N","Duty Billing"
"03_InvoicedConsignments_YI","2025","4","IT","611","Z","103","Duty Billing"
"03_InvoicedConsignments_YI","2025","1","DK","9","D","10","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","NL","2335","G","12N","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","NA","1","G","48N","Duty Billing"
"03_InvoicedConsignments_YI","2025","9","UA","19","FX","0102","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","HK","55","G","15N","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","GB","1","S","87","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","PL","805","D","100","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","LU","8","S","1E","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","BG","23","S","1ED","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","ES","170","S","NFO","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","FJ","250","D","15","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","FR","39","S","25","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","VN","1","G","12N","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","EG","475","D","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","GB","102","S","1PN","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","DK","21","G","10N","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","ZA","1","G","12N","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","MY","1","D","10D","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","AE","18","S","820","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","PL","427","G","12N","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","AT","15693","D","15","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","CH","50","S","1P","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","SE","8744","D","15","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","TR","3793","S","1E","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","TH","100","S","728","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","SI","70","G","15N","Duty Billing"
"03_InvoicedConsignments_YI","2025","11","NO","2","G","10D","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","HU","1","G","09D","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","NL","3250","G","30","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","PH","18","G","15N","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","BH","7","G","48N","Duty Billing"
"03_InvoicedConsignments_YI","2025","4","PT","2569","D","12","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","SA","9","G","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","KR","1058","G","29","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","ZA","6","D","10","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","NA","3","G","15N","Duty Billing"
"03_InvoicedConsignments_YI","2025","3","HK","23","G","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","LU","9465","G","48N","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","GB","1","G","30","Duty Billing"
"03_InvoicedConsignments_YI","2025","4","FJ","1336","G","15N","Duty Billing"
"03_InvoicedConsignments_YI","2025","5","IL","78","G","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","BE","4","Z","103","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","AU","2383","G","15N","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","SG","17","G","101","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","TR","90","G","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","AT","375","G","48N","Duty Billing"
"03_InvoicedConsignments_YI","2025","3","GB","370","G","412","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","SE","8899","D","15","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","SA","3","G","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","SE","4","G","10D","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","ES","4","S","820","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","SI","4","S","25","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","GB","89","S","1PN","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","NL","90","G","130","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","ES","21","S","726","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","FR","4","G","412","Duty Billing"
"03_InvoicedConsignments_YI","2025","1","ES","3","G","10D","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","TW","7","S","1E","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","CZ","9670","G","15N","Freight Billing"
"03_InvoicedConsignments_YI","2025","12","TH","10","D","48","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","LU","2874","S","DNI","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","FR","39","S","25","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","AU","2","G","09D","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","EE","700","D","15N","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","CY","15","D","15","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","KR","1","S","800","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","ES","10","D","10D","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","EE","4","G","10N","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","GR","93","S","1P","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","BE","145402","G","48N","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","MT","648","G","48N","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","CZ","56","D","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","BH","15","G","48N","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","GB","24883","G","48N","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","HK","2","S","1E","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","LU","8","G","09N","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","IE","8","S","1EN","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","KR","388","G","15N","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","GR","34","D","10","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","RO","100","S","1P","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","AT","29476","G","48N","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","BE","1087","D","12N","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","IE","5212","D","15","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","SK","24","G","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","SE","55","G","10N","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","ES","13","S","RFD","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","DK","109","Z","103","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","PL","31","S","25","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","PL","35","S","1I","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","CZ","186","G","15N","Duty Billing"
"03_InvoicedConsignments_YI","2025","10","NO","6","G","10N","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","ID","6","G","48N","Duty Billing"
"03_InvoicedConsignments_YI","2025","9","SK","2","S","87","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","NO","1","S","728","Duty Billing"
"03_InvoicedConsignments_YI","2025","9","SI","188","G","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","ES","90","S","1PN","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","HK","5","P","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","CH","5294","D","15","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","SE","44671","G","48N","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","FR","105","D","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","DK","1","G","10D","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","PL","1","W","10","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","ES","141","S","NFO","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","US","47","G","15N","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","FR","59","D","100","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","IL","1","D","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","GB","2","Z","102","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","GR","15","D","10","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","ES","490","S","1P","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","SE","11508","S","DNI","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","SE","313","G","12N","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","AT","9","S","726","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","EG","4","G","12D","Freight Billing"
